*** quadrotor inertial parameter estimation (fwddyn) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  29  5.830e-05  5.830e-05  1.006e+00  7.479e-06  1.000e-02  1.000e-02  0.0625  1.006e+00  0.000e+00  0.000e+00 -6.936e-07 -4.374e-06 -6.936e-07 -4.374e-06
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  30  6.228e-05  6.228e-05  9.432e-01  7.525e-06  1.000e-02  1.000e-02  0.0625  9.432e-01  0.000e+00  0.000e+00 -6.847e-07 -3.980e-06 -6.847e-07 -3.980e-06
  31  7.597e-05  7.597e-05  8.253e-01  7.856e-06  1.000e-02  1.000e-02  0.1250  8.253e-01  0.000e+00  0.000e+00 -1.792e-06 -1.369e-05 -1.792e-06 -1.369e-05
  32  7.597e-05  7.597e-05  8.236e-01  2.726e-06  1.000e-02  1.000e-02  0.0020  8.236e-01  0.000e+00  0.000e+00  5.130e-09  2.619e-09  5.130e-09  2.619e-09
  33  7.597e-05  7.597e-05  8.220e-01  2.523e-06  1.000e-02  1.000e-02  0.0020  8.220e-01  0.000e+00  0.000e+00  4.734e-09  2.235e-09  4.734e-09  2.235e-09
  34  7.597e-05  7.597e-05  8.204e-01  2.320e-06  1.000e-02  1.000e-02  0.0020  8.204e-01  0.000e+00  0.000e+00  4.339e-09  1.854e-09  4.339e-09  1.854e-09
  35  7.596e-05  7.596e-05  8.188e-01  2.119e-06  1.000e-02  1.000e-02  0.0020  8.188e-01  0.000e+00  0.000e+00  3.946e-09  1.474e-09  3.946e-09  1.474e-09
  36  7.596e-05  7.596e-05  8.172e-01  1.919e-06  1.000e-02  1.000e-02  0.0020  8.172e-01  0.000e+00  0.000e+00  3.556e-09  1.096e-09  3.556e-09  1.096e-09
  37  7.596e-05  7.596e-05  8.156e-01  1.719e-06  1.000e-02  1.000e-02  0.0020  8.156e-01  0.000e+00  0.000e+00  3.167e-09  7.206e-10  3.167e-09  7.206e-10
  38  7.596e-05  7.596e-05  8.140e-01  1.521e-06  1.000e-02  1.000e-02  0.0020  8.140e-01  0.000e+00  0.000e+00  2.781e-09  3.468e-10  2.781e-09  3.468e-10
  39  7.596e-05  7.596e-05  8.140e-01  1.324e-06  1.000e-02  1.000e-02  0.0020  8.140e-01  0.000e+00  0.000e+00  2.396e-09 -2.508e-11  2.396e-09 -2.508e-11
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  40  1.398e-04  1.398e-04  6.105e-01  5.834e-05  1.000e-01  1.000e-01  0.2500  6.105e-01  0.000e+00  0.000e+00 -1.745e-05 -6.385e-05 -1.745e-05 -6.385e-05
  41  2.841e-03  2.841e-03  7.079e-04  2.642e-04  1.000e+00  1.000e+00  1.0000  0.000e+00  0.000e+00  0.000e+00 -7.099e-04 -2.701e-03 -7.099e-04 -2.701e-03
  42  2.232e-03  2.232e-03  6.077e-04  6.713e-04  1.000e+01  1.000e+01  1.0000  0.000e+00  0.000e+00  0.000e+00  6.090e-04  6.088e-04  6.090e-04  6.088e-04
  43  2.179e-03  2.179e-03  5.297e-05  5.367e-05  1.000e+02  1.000e+02  1.0000  0.000e+00  0.000e+00  0.000e+00  5.308e-05  5.308e-05  5.308e-05  5.308e-05
  44  2.174e-03  2.174e-03  5.222e-06  5.240e-06  1.000e+03  1.000e+03  1.0000  0.000e+00  0.000e+00  0.000e+00  5.234e-06  5.234e-06  5.234e-06  5.234e-06
  45  2.173e-03  2.173e-03  5.215e-07  5.227e-07  1.000e+04  1.000e+04  1.0000  0.000e+00  0.000e+00  0.000e+00  5.226e-07  5.226e-07  5.226e-07  5.226e-07
  46  2.173e-03  2.173e-03  5.214e-08  5.226e-08  1.000e+05  1.000e+05  1.0000  0.000e+00  0.000e+00  0.000e+00  5.226e-08  5.226e-08  5.226e-08  5.226e-08
  47  2.173e-03  2.173e-03  5.214e-09  5.226e-09  1.000e+06  1.000e+06  1.0000  0.000e+00  0.000e+00  0.000e+00  5.226e-09  5.226e-09  5.226e-09  5.226e-09

Estimated vs. ground-truth inertial parameters:
  body 1: mass est=1.4597  gt=1.4770
total-mass error: 0.017348732510896303
