*** SOLVE walking ***
iter    cost       merit      stop       grad       preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   7  7.132e+03  0.000e+00  4.658e+03  9.317e+03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  4.658e+03  3.890e+03  0.000e+00  0.000e+00
   8  6.808e+03  0.000e+00  1.061e+03  2.123e+03  1.000e-09  1.000e-09  0.2500  0.000e+00  0.000e+00  0.000e+00  4.644e+02  3.241e+02  0.000e+00  0.000e+00
   9  6.538e+03  0.000e+00  6.768e+02  1.354e+03  1.000e-09  1.000e-09  0.5000  0.000e+00  0.000e+00  0.000e+00  5.076e+02  2.704e+02  0.000e+00  0.000e+00
iter    cost       merit      stop       grad       preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  6.334e+03  0.000e+00  3.832e+02  7.663e+02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  3.832e+02  2.034e+02  0.000e+00  0.000e+00
  11  6.210e+03  0.000e+00  2.044e+02  4.089e+02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.044e+02  1.247e+02  0.000e+00  0.000e+00
  12  6.134e+03  0.000e+00  7.658e+01  1.532e+02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  7.658e+01  7.553e+01  0.000e+00  0.000e+00
  13  6.134e+03  0.000e+00  4.416e+00  8.832e+00  1.000e-09  1.000e-09  0.0312  0.000e+00  0.000e+00  0.000e+00  2.717e-01  1.470e-01  0.000e+00  0.000e+00
  14  6.131e+03  0.000e+00  2.521e+00  5.042e+00  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.521e+00  2.541e+00  0.000e+00  0.000e+00
  15  6.131e+03  0.000e+00  1.880e-01  3.761e-01  1.000e-09  1.000e-09  0.0312  0.000e+00  0.000e+00  0.000e+00  1.157e-02  7.781e-03  0.000e+00  0.000e+00
  16  6.131e+03  0.000e+00  1.243e-02  2.487e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.243e-02  1.244e-02  0.000e+00  0.000e+00
  17  6.131e+03  0.000e+00  1.286e-06  2.572e-06  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.286e-06  1.268e-06  0.000e+00  0.000e+00
  18  6.131e+03  0.000e+00  1.515e-08  3.031e-08  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.515e-08  1.326e-08  0.000e+00  0.000e+00
*** SOLVE walking ***
iter    cost       merit      stop       grad       preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.001e+07  0.000e+00  3.633e+07  7.222e+07  1.000e-09  1.000e-09  0.5000  1.899e+00  0.000e+00  0.000e+00  2.719e+07  2.633e+07  0.000e+00  0.000e+00
   1  2.495e+06  0.000e+00  1.000e+07  1.984e+07  1.000e-09  1.000e-09  0.5000  9.496e-01  0.000e+00  0.000e+00  7.481e+06  7.516e+06  0.000e+00  0.000e+00
   2  6.294e+05  0.000e+00  2.485e+06  4.927e+06  1.000e-09  1.000e-09  0.5000  4.748e-01  0.000e+00  0.000e+00  1.859e+06  1.866e+06  0.000e+00  0.000e+00
   3  1.805e+04  0.000e+00  6.206e+05  1.241e+06  1.000e-09  1.000e-09  1.0000  2.374e-01  0.000e+00  0.000e+00  6.206e+05  6.113e+05  0.000e+00  0.000e+00
   4  1.281e+04  0.000e+00  1.189e+04  2.378e+04  1.000e-09  1.000e-09  0.5000  0.000e+00  0.000e+00  0.000e+00  8.917e+03  5.242e+03  0.000e+00  0.000e+00
   5  9.565e+03  0.000e+00  6.355e+03  1.271e+04  1.000e-09  1.000e-09  0.5000  0.000e+00  0.000e+00  0.000e+00  4.766e+03  3.246e+03  0.000e+00  0.000e+00
   6  8.527e+03  0.000e+00  3.104e+03  6.208e+03  1.000e-09  1.000e-09  0.2500  0.000e+00  0.000e+00  0.000e+00  1.358e+03  1.038e+03  0.000e+00  0.000e+00
