iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV
  32  8.964e-02  1.224e-04  9.928e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.224e-04  5.117e-06  9.874e-06
  33  8.963e-02  1.069e-04  9.676e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.069e-04  4.990e-06  9.667e-06
  34  8.962e-02  9.541e-05  9.499e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  9.541e-05  4.888e-06  9.498e-06
  35  8.961e-02  8.620e-05  9.354e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  8.620e-05  4.803e-06  9.354e-06
  36  8.960e-02  7.843e-05  9.230e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  7.843e-05  4.729e-06  9.229e-06
  37  8.959e-02  7.167e-05  9.119e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  7.167e-05  4.665e-06  9.119e-06
  38  8.958e-02  6.568e-05  9.020e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  6.568e-05  4.608e-06  9.019e-06
  39  8.957e-02  6.030e-05  8.930e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  6.030e-05  4.557e-06  8.929e-06
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV
  40  8.957e-02  5.757e-05  8.848e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  5.757e-05  4.510e-06  8.847e-06
  41  8.956e-02  5.595e-05  8.772e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  5.595e-05  4.468e-06  8.772e-06
  42  8.955e-02  5.431e-05  8.702e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  5.431e-05  4.429e-06  8.701e-06
  43  8.954e-02  5.268e-05  8.637e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  5.268e-05  4.392e-06  8.636e-06
  44  8.953e-02  5.104e-05  8.576e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  5.104e-05  4.358e-06  8.575e-06
  45  8.952e-02  4.941e-05  8.519e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  4.941e-05  4.327e-06  8.518e-06
  46  8.951e-02  4.780e-05  8.465e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  4.780e-05  4.297e-06  8.464e-06
  47  8.951e-02  4.619e-05  8.414e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  4.619e-05  4.269e-06  8.413e-06
  48  8.950e-02  4.461e-05  8.366e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  4.461e-05  4.242e-06  8.364e-06
  49  8.949e-02  4.304e-05  8.320e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  4.304e-05  4.217e-06  8.318e-06
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV
  50  8.948e-02  4.150e-05  8.276e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  4.150e-05  4.193e-06  8.274e-06
  51  8.947e-02  3.998e-05  8.234e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  3.998e-05  4.170e-06  8.232e-06
  52  8.946e-02  3.849e-05  8.194e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  3.849e-05  4.148e-06  8.192e-06
  53  8.946e-02  3.703e-05  8.156e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  3.703e-05  4.127e-06  8.153e-06
  54  8.945e-02  3.559e-05  8.118e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  3.559e-05  4.107e-06  8.116e-06
  55  8.944e-02  3.419e-05  8.083e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  3.419e-05  4.088e-06  8.081e-06
  56  8.943e-02  3.282e-05  8.048e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  3.282e-05  4.069e-06  8.046e-06
  57  8.942e-02  3.148e-05  8.015e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  3.148e-05  4.051e-06  8.013e-06
  58  8.942e-02  3.017e-05  7.983e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  3.017e-05  4.034e-06  7.980e-06
  59  8.941e-02  2.891e-05  7.952e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  2.891e-05  4.017e-06  7.949e-06
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV
  60  8.940e-02  2.767e-05  7.921e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  2.767e-05  4.001e-06  7.918e-06
  61  8.939e-02  2.648e-05  7.892e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  2.648e-05  3.985e-06  7.889e-06
  62  8.938e-02  2.532e-05  7.863e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  2.532e-05  3.969e-06  7.860e-06
  63  8.938e-02  2.419e-05  7.835e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  2.419e-05  3.954e-06  7.832e-06
