*** SOLVE walking ***
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||hfeas||   dV-exp       dV    
   3  6.667e+04  1.343e+07  1.933e+05  1.000e-09  1.000e-09  0.5000  1.956e-02  0.000e+00  7.238e+04  3.634e+04
   4  2.520e+04  4.390e+06  1.214e+05  1.000e-09  1.000e-09  0.5000  9.781e-03  0.000e+00  4.556e+04  4.147e+04
   5  1.233e+04  1.413e+06  3.904e+04  1.000e-09  1.000e-09  1.0000  4.890e-03  0.000e+00  1.949e+04  1.287e+04
   6  1.055e+04  1.153e+06  1.371e+04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  6.856e+03  1.782e+03
   7  7.781e+03  6.467e+05  1.024e+04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  5.118e+03  2.772e+03
   8  5.505e+03  4.764e+04  4.796e+03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  2.398e+03  2.277e+03
   9  5.402e+03  5.327e+02  2.617e+02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.308e+02  1.024e+02
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||hfeas||   dV-exp       dV    
  10  5.389e+03  8.345e+01  5.448e+01  1.000e-09  1.000e-09  0.5000  0.000e+00  0.000e+00  2.043e+01  1.365e+01
  11  5.380e+03  6.874e+01  2.970e+01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.485e+01  8.554e+00
  12  5.376e+03  8.529e+00  1.324e+01  1.000e-09  1.000e-09  0.5000  0.000e+00  0.000e+00  4.965e+00  3.895e+00
  13  5.374e+03  5.162e+00  4.800e+00  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  2.400e+00  2.475e+00
  14  5.374e+03  4.679e-01  2.119e+00  1.000e-09  1.000e-09  0.1250  0.000e+00  0.000e+00  2.483e-01  1.167e-01
  15  5.373e+03  4.150e-01  7.824e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  3.912e-01  3.915e-01
  16  5.373e+03  3.046e-03  3.823e-04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.912e-04  1.919e-04
  17  5.373e+03  1.748e-05  2.793e-06  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.396e-06  1.404e-06
  18  5.373e+03  2.549e-07  4.805e-08  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  2.402e-08  2.418e-08
  19  5.373e+03  9.029e-09  9.891e-10  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  4.945e-10  4.493e-10
*** SOLVE walking ***
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||hfeas||   dV-exp       dV    
   0  2.335e+05  1.118e+08  1.755e+06  1.000e-09  1.000e-09  0.5000  1.397e-01  0.000e+00  6.437e+05  6.327e+05
   1  9.812e+04  1.974e+08  4.593e+05  1.000e-09  1.000e-09  0.5000  6.987e-02  0.000e+00  1.700e+05  1.354e+05
   2  4.462e+04  6.460e+07  1.834e+05  1.000e-09  1.000e-09  0.5000  3.493e-02  0.000e+00  6.841e+04  5.350e+04
   3  3.872e+04  1.801e+07  7.620e+04  1.000e-09  1.000e-09  1.0000  1.747e-02  0.000e+00  3.803e+04  5.902e+03
   4  2.994e+04  4.978e+06  6.678e+04  1.000e-09  1.000e-09  0.2500  0.000e+00  0.000e+00  1.461e+04  8.779e+03
   5  1.202e+04  3.635e+06  4.924e+04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  2.462e+04  1.791e+04
   6  7.910e+03  4.299e+06  1.353e+04  1.000e-09  1.000e-09  0.5000  0.000e+00  0.000e+00  5.075e+03  4.113e+03
   7  6.984e+03  1.133e+06  5.253e+03  1.000e-09  1.000e-09  0.5000  0.000e+00  0.000e+00  1.970e+03  9.265e+02
   8  5.497e+03  3.112e+05  3.487e+03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.744e+03  1.486e+03
   9  5.365e+03  6.623e+03  6.171e+02  1.000e-09  1.000e-09  0.5000  0.000e+00  0.000e+00  2.314e+02  1.325e+02
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||hfeas||   dV-exp       dV    
  10  5.209e+03  1.843e+03  3.277e+02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.638e+02  1.556e+02
  11  5.209e+03  2.371e+01  2.228e+01  1.000e-09  1.000e-09  0.1250  0.000e+00  0.000e+00  2.610e+00  4.640e-01
  12  5.201e+03  2.253e+01  1.681e+01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  8.405e+00  8.348e+00
  13  5.200e+03  1.797e+00  4.566e+00  1.000e-09  1.000e-09  0.0625  0.000e+00  0.000e+00  2.765e-01  1.847e-01
  14  5.200e+03  1.591e+00  2.032e+00  1.000e-09  1.000e-09  0.2500  0.000e+00  0.000e+00  4.446e-01  8.055e-02
  15  5.199e+03  1.850e+00  1.691e+00  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  8.457e-01  8.494e-01
  16  5.199e+03  1.066e-01  1.420e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  7.098e-02  2.462e-02
  17  5.199e+03  4.187e-01  9.219e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  4.609e-02  4.609e-02
  18  5.199e+03  1.074e-04  1.670e-06  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  8.349e-07  8.347e-07
  19  5.199e+03  2.314e-07  1.569e-08  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  7.843e-09  7.912e-09
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||hfeas||   dV-exp       dV    
  20  5.199e+03  5.152e-09  3.241e-10  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.620e-10  1.000e-10
