*** SOLVE (FeasShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  29  6.153e+00  6.153e+00  2.321e-05  3.754e-05  1.000e-02  1.000e-02  1.0000  0.000e+00  0.000e+00  2.321e-05 -4.078e-06 -2.790e-06  1.604e-05  1.733e-05
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  30  6.153e+00  6.153e+00  7.059e-06  5.037e-05  1.000e-01  1.000e-01  1.0000  0.000e+00  0.000e+00  2.814e-08 -5.049e-05 -5.051e-05 -3.777e-05 -3.779e-05
  31  6.153e+00  6.153e+00  3.097e-08  2.227e-07  1.000e+00  1.000e+00  1.0000  0.000e+00  0.000e+00  2.462e-10  2.216e-07  2.214e-07  5.353e-07  5.351e-07
  32  6.153e+00  6.153e+00  2.730e-09  1.954e-08  1.000e+01  1.000e+01  1.0000  0.000e+00  0.000e+00  2.463e-12  1.953e-08  1.952e-08  2.227e-08  2.226e-08
  33  6.153e+00  6.153e+00  2.671e-10  1.910e-09  1.000e+02  1.000e+02  1.0000  0.000e+00  0.000e+00  2.481e-14  1.910e-09  1.910e-09  1.938e-09  1.938e-09
*** SOLVE (MultiShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  4.296e+00  1.766e+01  2.686e+00  2.406e-03  1.000e-09  1.000e-09  0.5000  1.154e+00  0.000e+00  1.222e+00 -3.557e+00 -4.296e+00  2.604e+00  8.028e+00
   1  1.580e+01  1.809e+01  8.129e-01  3.030e+00  1.000e-09  1.000e-09  1.0000  1.740e-02  0.000e+00  7.956e-01 -7.927e+00 -1.150e+01 -3.531e+00 -7.108e+00
   2  1.094e+01  1.260e+01  4.226e-01  8.825e+00  1.000e-09  1.000e-09  1.0000  1.334e-02  0.000e+00  1.740e-01  5.044e+00  4.865e+00  1.059e+01  1.041e+01
   3  1.246e+01  1.268e+01  8.358e-02  2.467e-01  1.000e-09  1.000e-09  1.0000  5.715e-03  0.000e+00  4.451e-02 -1.125e+00 -1.526e+00 -5.175e-01 -9.180e-01
   4  1.208e+01  1.216e+01  3.066e-02  5.993e-01  1.000e-09  1.000e-09  1.0000  8.647e-04  0.000e+00  6.646e-03  4.009e-01  3.860e-01  8.880e-01  8.731e-01
   5  1.208e+01  1.209e+01  1.408e-03  3.367e-02  1.000e-09  1.000e-09  1.0000  8.837e-05  0.000e+00  1.320e-03  3.172e-03 -1.776e-03  3.796e-02  3.302e-02
   6  1.205e+01  1.211e+01  2.371e-03  3.534e-02  1.000e-09  1.000e-09  1.0000  2.247e-05  0.000e+00  2.348e-03  2.373e-02  2.299e-02  5.648e-04 -1.826e-04
   7  1.204e+01  1.206e+01  1.893e-03  3.106e-02  1.000e-09  1.000e-09  1.0000  3.440e-05  0.000e+00  1.859e-03  2.078e-02  1.883e-02  2.676e-02  2.481e-02
   8  1.201e+01  1.205e+01  2.250e-03  3.396e-02  1.000e-09  1.000e-09  1.0000  2.798e-05  0.000e+00  2.222e-03  2.315e-02  2.192e-02  1.692e-02  1.569e-02
   9  1.199e+01  1.204e+01  2.875e-03  3.662e-02  1.000e-09  1.000e-09  1.0000  2.851e-05  0.000e+00  2.847e-03  2.460e-02  2.317e-02  1.483e-02  1.340e-02
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  1.196e+01  1.202e+01  3.909e-03  4.324e-02  1.000e-09  1.000e-09  1.0000  2.280e-05  0.000e+00  3.886e-03  2.889e-02  2.784e-02  1.405e-02  1.300e-02
  11  1.193e+01  1.200e+01  5.573e-03  5.480e-02  1.000e-09  1.000e-09  1.0000  1.866e-05  0.000e+00  5.554e-03  3.614e-02  3.526e-02  1.416e-02  1.329e-02
  12  1.188e+01  1.198e+01  8.250e-03  7.548e-02  1.000e-09  1.000e-09  1.0000  1.447e-05  0.000e+00  8.236e-03  4.933e-02  4.873e-02  1.548e-02  1.488e-02
  13  1.181e+01  1.196e+01  1.214e-02  1.080e-01  1.000e-09  1.000e-09  1.0000  1.565e-05  0.000e+00  1.213e-02  7.028e-02  6.989e-02  2.293e-02  2.254e-02
  14  1.171e+01  1.191e+01  1.734e-02  1.488e-01  1.000e-09  1.000e-09  1.0000  2.829e-05  0.000e+00  1.732e-02  9.719e-02  9.695e-02  3.770e-02  3.746e-02
  15  1.160e+01  1.180e+01  2.139e-02  1.755e-01  1.000e-09  1.000e-09  1.0000  4.538e-05  0.000e+00  2.135e-02  1.163e-01  1.161e-01  7.748e-02  7.733e-02
  16  1.149e+01  1.164e+01  2.090e-02  1.557e-01  1.000e-09  1.000e-09  1.0000  4.787e-05  0.000e+00  2.085e-02  1.054e-01  1.051e-01  1.089e-01  1.086e-01
  17  1.142e+01  1.149e+01  1.411e-02  9.793e-02  1.000e-09  1.000e-09  1.0000  3.595e-05  0.000e+00  1.408e-02  6.763e-02  6.631e-02  9.901e-02  9.768e-02
  18  1.139e+01  1.142e+01  8.238e-03  5.482e-02  1.000e-09  1.000e-09  1.0000  3.858e-05  0.000e+00  8.200e-03  3.792e-02  3.516e-02  6.047e-02  5.771e-02
  19  1.136e+01  1.139e+01  5.977e-03  4.492e-02  1.000e-09  1.000e-09  1.0000  5.995e-05  0.000e+00  5.917e-03  3.078e-02  2.686e-02  4.286e-02  3.893e-02
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  20  1.133e+01  1.140e+01  7.635e-03  5.921e-02  1.000e-09  1.000e-09  1.0000  1.263e-04  0.000e+00  7.509e-03  3.946e-02  3.325e-02  2.381e-02  1.761e-02
