iter     cost         stop         grad         xreg         ureg       step    ||ffeas||    ||hfeas||
  47  2.01775e-01  3.61630e-05  3.22991e-06  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  3.61630e-05
  48  2.01772e-01  2.70324e-05  2.62449e-06  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  2.70324e-05
  49  2.01770e-01  2.00494e-05  2.13411e-06  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  2.00494e-05
iter     cost         stop         grad         xreg         ureg       step    ||ffeas||    ||hfeas||
  50  2.01769e-01  1.47586e-05  1.73656e-06  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  1.47586e-05
  51  2.01767e-01  1.07835e-05  1.41399e-06  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  1.07835e-05
  52  2.01766e-01  7.82001e-06  1.15208e-06  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  7.82001e-06
  53  2.01765e-01  5.62694e-06  9.39251e-07  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  5.62694e-06
  54  2.01765e-01  4.01548e-06  7.66196e-07  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  4.01548e-06
  55  2.01764e-01  2.83975e-06  6.25385e-07  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  2.83975e-06
  56  2.01763e-01  1.98808e-06  5.10738e-07  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  1.98808e-06
  57  2.01763e-01  1.37579e-06  4.17334e-07  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  1.37579e-06
  58  2.01763e-01  1.09156e-06  3.41191e-07  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  1.09156e-06
  59  2.01762e-01  9.07717e-07  2.79083e-07  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  9.07717e-07
iter     cost         stop         grad         xreg         ureg       step    ||ffeas||    ||hfeas||
  60  2.01762e-01  7.54486e-07  2.28393e-07  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  7.54486e-07
  61  2.01762e-01  6.26856e-07  1.86999e-07  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  6.26856e-07
  62  2.01762e-01  5.20617e-07  1.53179e-07  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  5.20617e-07
  63  2.01762e-01  4.32234e-07  1.25531e-07  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  4.32234e-07
  64  2.01762e-01  3.58743e-07  1.02918e-07  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  3.58743e-07
  65  2.01762e-01  2.97664e-07  8.44146e-08  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  2.97664e-07
  66  2.01762e-01  2.46920e-07  6.92659e-08  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  2.46920e-07
  67  2.01761e-01  2.04780e-07  5.68581e-08  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  2.04780e-07
  68  2.01761e-01  1.69795e-07  4.66909e-08  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  1.69795e-07
  69  2.01761e-01  1.40760e-07  3.83560e-08  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  1.40760e-07
iter     cost         stop         grad         xreg         ureg       step    ||ffeas||    ||hfeas||
  70  2.01761e-01  1.16670e-07  3.15203e-08  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  1.16670e-07
  71  2.01761e-01  9.66871e-08  2.59120e-08  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  9.66871e-08
  72  2.01761e-01  8.01153e-08  2.13088e-08  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  8.01153e-08
  73  2.01761e-01  6.63749e-08  1.75291e-08  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  6.63749e-08
  74  2.01761e-01  5.49845e-08  1.44245e-08  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  5.49845e-08
  75  2.01761e-01  4.55437e-08  1.18735e-08  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  4.55437e-08
  76  2.01761e-01  3.77200e-08  9.77663e-09  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  3.77200e-08
  77  2.01761e-01  3.12375e-08  8.05247e-09  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  3.12375e-08
  78  2.01761e-01  2.58668e-08  6.63430e-09  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  2.58668e-08
  79  2.01761e-01  2.14178e-08  5.46744e-09  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  2.14178e-08
iter     cost         stop         grad         xreg         ureg       step    ||ffeas||    ||hfeas||
  80  2.01761e-01  1.77328e-08  4.50707e-09  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  1.77328e-08
  81  2.01761e-01  1.46808e-08  3.71639e-09  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  1.46808e-08
  82  2.01761e-01  1.21533e-08  3.06524e-09  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  1.21533e-08
  83  2.01761e-01  1.00605e-08  2.52883e-09  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  1.00605e-08
  84  2.01761e-01  8.32757e-09  2.08683e-09  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  8.32757e-09
