*** SOLVE initial ***
iter 	 cost 	      stop 	    grad 	  xreg 	      ureg 	 step 	 feas
  16  9.14008e+02  2.65982e-01  4.75149e+00  1.00000e-09  1.00000e-09   0.5000     1
  17  9.13614e+02  6.23063e-01  1.63771e+00  1.00000e-09  1.00000e-09   0.5000     1
  18  9.13481e+02  2.06679e-01  5.52966e-01  1.00000e-09  1.00000e-09   1.0000     1
  19  9.13302e+02  1.14951e-01  9.31494e-01  1.00000e-09  1.00000e-09   0.5000     1
iter 	 cost 	      stop 	    grad 	  xreg 	      ureg 	 step 	 feas
  20  9.13279e+02  4.64066e-02  3.13878e-01  1.00000e-09  1.00000e-09   1.0000     1
  21  9.13159e+02  6.14163e-02  7.32924e-01  1.00000e-09  1.00000e-09   0.5000     1
  22  9.13103e+02  3.66129e-02  2.38699e-01  1.00000e-09  1.00000e-09   0.5000     1
  23  9.13064e+02  2.06372e-02  1.02541e-01  1.00000e-09  1.00000e-09   1.0000     1
  24  9.13030e+02  4.52819e-03  1.69984e-01  1.00000e-09  1.00000e-09   0.5000     1
  25  9.13017e+02  4.00441e-03  6.34564e-02  1.00000e-09  1.00000e-09   1.0000     1
  26  9.12992e+02  3.03833e-03  1.43013e-01  1.00000e-09  1.00000e-09   0.5000     1
  27  9.12980e+02  2.79771e-03  4.73763e-02  1.00000e-09  1.00000e-09   0.5000     1
  28  9.12970e+02  1.47668e-03  2.20064e-02  1.00000e-09  1.00000e-09   1.0000     1
  29  9.12962e+02  1.29918e-03  3.82319e-02  1.00000e-09  1.00000e-09   0.5000     1
iter 	 cost 	      stop 	    grad 	  xreg 	      ureg 	 step 	 feas
  30  9.12958e+02  7.07313e-04  1.53743e-02  1.00000e-09  1.00000e-09   1.0000     1
  31  9.12952e+02  8.57280e-04  3.37954e-02  1.00000e-09  1.00000e-09   0.5000     1
  32  9.12951e+02  4.61936e-04  1.19190e-02  1.00000e-09  1.00000e-09   1.0000     1
*** SOLVE frontal ***
iter 	 cost 	      stop 	    grad 	  xreg 	      ureg 	 step 	 feas
   0  9.44027e+04  3.40239e+04  2.42552e+05  1.00000e-09  1.00000e-09   0.1250     1
   1  7.24062e+04  2.70410e+04  1.85835e+05  1.00000e-09  1.00000e-09   0.1250     1
   2  4.18640e+04  2.16616e+04  1.41971e+05  1.00000e-09  1.00000e-09   0.2500     1
   3  2.51360e+04  2.52628e+04  8.10848e+04  1.00000e-09  1.00000e-09   0.2500     1
   4  7.79881e+03  3.08851e+04  4.77399e+04  1.00000e-09  1.00000e-09   0.5000     1
   5  2.93505e+03  1.38763e+04  1.31081e+04  1.00000e-09  1.00000e-09   0.5000     1
   6  1.65231e+03  3.39480e+03  3.42307e+03  1.00000e-09  1.00000e-09   1.0000     1
