iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV    
  38  1.884e-01  2.130e-07  4.259e-07  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.130e-07  1.788e-07
  39  1.884e-01  1.125e-06  2.249e-06  1.000e-09  1.000e-09  0.1250  0.000e+00  0.000e+00  0.000e+00  2.636e-07  1.293e-07
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV    
  40  1.884e-01  6.228e-08  1.246e-07  1.000e-09  1.000e-09  0.5000  0.000e+00  0.000e+00  0.000e+00  4.671e-08  1.698e-08
  41  1.884e-01  2.440e-07  4.879e-07  1.000e-09  1.000e-09  0.1250  0.000e+00  0.000e+00  0.000e+00  5.718e-08  2.990e-08
  42  1.884e-01  2.612e-08  5.225e-08  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.612e-08  7.416e-09
  43  1.884e-01  2.473e-07  4.946e-07  1.000e-09  1.000e-09  0.1250  0.000e+00  0.000e+00  0.000e+00  5.796e-08  2.767e-08
  44  1.884e-01  9.135e-09  1.827e-08  1.000e-09  1.000e-09  0.2500  0.000e+00  0.000e+00  0.000e+00  3.996e-09  2.109e-09
  45  1.884e-01  1.040e-08  2.080e-08  1.000e-09  1.000e-09  0.2500  0.000e+00  0.000e+00  0.000e+00  4.551e-09  1.399e-09
  46  1.884e-01  1.340e-08  2.679e-08  1.000e-09  1.000e-09  0.2500  0.000e+00  0.000e+00  0.000e+00  5.861e-09  7.124e-10
  47  1.884e-01  1.895e-08  3.790e-08  1.000e-09  1.000e-09  0.1250  0.000e+00  0.000e+00  0.000e+00  4.442e-09  2.365e-09
  48  1.884e-01  2.316e-09  4.631e-09  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.316e-09  1.019e-09
  49  1.884e-01  1.922e-08  3.844e-08  1.000e-09  1.000e-09  0.1250  0.000e+00  0.000e+00  0.000e+00  4.505e-09  2.157e-09
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV    
  50  1.884e-01  7.801e-10  1.560e-09  1.000e-09  1.000e-09  0.2500  0.000e+00  0.000e+00  0.000e+00  3.413e-10  1.933e-10
