*** SOLVE walking ***
iter    cost       merit      stop       grad       preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  15  6.131e+03  0.000e+00  1.896e-02  3.793e-02  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  0.000e+00  1.896e-02  1.838e-02  0.000e+00  0.000e+00
  16  6.131e+03  0.000e+00  1.344e-03  2.688e-03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.344e-03  1.346e-03  0.000e+00  0.000e+00
  17  6.131e+03  0.000e+00  2.881e-07  5.763e-07  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.881e-07  3.041e-07  0.000e+00  0.000e+00
  18  6.131e+03  0.000e+00  2.997e-09  5.994e-09  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.997e-09  2.843e-09  0.000e+00  0.000e+00
*** SOLVE walking ***
iter    cost       merit      stop       grad       preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  9.592e+06  0.000e+00  3.631e+07  7.218e+07  1.000e-01  1.000e-01  0.5000  1.899e+00  0.000e+00  0.000e+00  2.718e+07  2.675e+07  0.000e+00  0.000e+00
   1  9.700e+04  0.000e+00  9.574e+06  1.914e+07  1.000e-02  1.000e-02  1.0000  9.496e-01  0.000e+00  0.000e+00  9.574e+06  9.495e+06  0.000e+00  0.000e+00
   2  2.737e+04  0.000e+00  1.881e+04  2.192e+05  1.000e-02  1.000e-02  0.5000  0.000e+00  0.000e+00  0.000e+00  1.799e+04  6.963e+04  0.000e+00  0.000e+00
   3  2.208e+04  0.000e+00  2.057e+04  4.141e+04  1.000e-03  1.000e-03  1.0000  0.000e+00  0.000e+00  0.000e+00  2.057e+04  5.292e+03  0.000e+00  0.000e+00
   4  1.592e+04  0.000e+00  1.458e+04  3.239e+04  1.000e-03  1.000e-03  0.5000  0.000e+00  0.000e+00  0.000e+00  1.134e+04  6.164e+03  0.000e+00  0.000e+00
   5  1.428e+04  0.000e+00  9.311e+03  1.862e+04  1.000e-04  1.000e-04  1.0000  0.000e+00  0.000e+00  0.000e+00  9.311e+03  1.631e+03  0.000e+00  0.000e+00
   6  1.168e+04  0.000e+00  7.902e+03  1.580e+04  1.000e-05  1.000e-05  1.0000  0.000e+00  0.000e+00  0.000e+00  7.902e+03  2.604e+03  0.000e+00  0.000e+00
   7  9.126e+03  0.000e+00  5.344e+03  1.069e+04  1.000e-06  1.000e-06  1.0000  0.000e+00  0.000e+00  0.000e+00  5.344e+03  2.555e+03  0.000e+00  0.000e+00
   8  7.582e+03  0.000e+00  2.817e+03  5.548e+03  1.000e-06  1.000e-06  0.5000  0.000e+00  0.000e+00  0.000e+00  2.102e+03  1.544e+03  0.000e+00  0.000e+00
   9  7.151e+03  0.000e+00  1.269e+03  2.538e+03  1.000e-07  1.000e-07  1.0000  0.000e+00  0.000e+00  0.000e+00  1.269e+03  4.304e+02  0.000e+00  0.000e+00
iter    cost       merit      stop       grad       preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  6.579e+03  0.000e+00  8.217e+02  1.643e+03  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  0.000e+00  8.217e+02  5.721e+02  0.000e+00  0.000e+00
  11  6.320e+03  0.000e+00  2.590e+02  5.181e+02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.590e+02  2.592e+02  0.000e+00  0.000e+00
  12  6.320e+03  0.000e+00  5.860e+00  1.172e+01  1.000e-09  1.000e-09  0.0625  0.000e+00  0.000e+00  0.000e+00  7.096e-01  3.892e-01  0.000e+00  0.000e+00
  13  6.319e+03  0.000e+00  4.121e+00  8.242e+00  1.000e-09  1.000e-09  0.1250  0.000e+00  0.000e+00  0.000e+00  9.658e-01  5.227e-01  0.000e+00  0.000e+00
  14  6.318e+03  0.000e+00  2.608e+00  5.216e+00  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.608e+00  1.074e+00  0.000e+00  0.000e+00
  15  6.318e+03  0.000e+00  3.552e+00  7.104e+00  1.000e-09  1.000e-09  0.0625  0.000e+00  0.000e+00  0.000e+00  4.301e-01  8.056e-02  0.000e+00  0.000e+00
  16  6.318e+03  0.000e+00  1.975e+00  3.951e+00  1.000e-09  1.000e-09  0.2500  0.000e+00  0.000e+00  0.000e+00  8.643e-01  6.084e-01  0.000e+00  0.000e+00
  17  6.316e+03  0.000e+00  1.208e+00  2.416e+00  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.208e+00  1.197e+00  0.000e+00  0.000e+00
  18  6.316e+03  0.000e+00  6.469e-03  1.294e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  6.469e-03  3.815e-03  0.000e+00  0.000e+00
  19  6.316e+03  0.000e+00  1.650e-03  3.300e-03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.650e-03  1.650e-03  0.000e+00  0.000e+00
iter    cost       merit      stop       grad       preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  20  6.316e+03  0.000e+00  8.235e-09  1.647e-08  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  8.235e-09  8.069e-09  0.000e+00  0.000e+00
*** SOLVE walking ***
iter    cost       merit      stop       grad       preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  9.672e+06  0.000e+00  3.631e+07  7.221e+07  1.000e-01  1.000e-01  0.5000  1.768e+00  0.000e+00  0.000e+00  2.718e+07  2.667e+07  0.000e+00  0.000e+00
   1  1.003e+05  0.000e+00  9.655e+06  1.930e+07  1.000e-02  1.000e-02  1.0000  8.838e-01  0.000e+00  0.000e+00  9.655e+06  9.572e+06  0.000e+00  0.000e+00
   2  2.703e+04  0.000e+00  1.510e+04  2.293e+05  1.000e-02  1.000e-02  0.5000  0.000e+00  0.000e+00  0.000e+00  2.112e+04  7.328e+04  0.000e+00  0.000e+00
