*** SOLVE walking ***
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||   dV-exp       dV    
  12  2.046e+03  2.270e-05  3.746e-05  1.000e-09  1.000e-09  0.1250  0.000e+00  4.390e-06  5.861e-07
  13  2.046e+03  1.739e-05  2.893e-05  1.000e-08  1.000e-08  0.0020  0.000e+00  5.644e-08  2.016e-09
  14  2.046e+03  1.739e-05  2.893e-05  1.000e-07  1.000e-07  0.0020  0.000e+00  5.644e-08  2.018e-09
  15  2.046e+03  1.739e-05  2.893e-05  1.000e-06  1.000e-06  0.0020  0.000e+00  5.644e-08  2.022e-09
  16  2.046e+03  1.739e-05  2.892e-05  1.000e-05  1.000e-05  0.0020  0.000e+00  5.644e-08  2.037e-09
  17  2.046e+03  1.739e-05  2.890e-05  1.000e-04  1.000e-04  0.0020  0.000e+00  5.639e-08  2.180e-09
  18  2.046e+03  1.738e-05  2.869e-05  1.000e-03  1.000e-03  0.0020  0.000e+00  5.598e-08  3.762e-09
  19  2.046e+03  1.735e-05  2.724e-05  1.000e-03  1.000e-03  0.2500  0.000e+00  5.959e-06  1.083e-06
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||   dV-exp       dV    
  20  2.046e+03  9.792e-06  1.602e-05  1.000e-02  1.000e-02  0.0020  0.000e+00  3.125e-08  -4.061e-09
  21  2.046e+03  9.769e-06  1.351e-05  1.000e-03  1.000e-03  1.0000  0.000e+00  6.753e-06  5.424e-06
  22  2.046e+03  2.513e-05  4.678e-04  1.000e-04  1.000e-04  1.0000  0.000e+00  2.339e-04  3.344e-04
  23  2.046e+03  4.700e-07  1.825e-04  1.000e-05  1.000e-05  1.0000  0.000e+00  9.127e-05  8.448e-05
  24  2.046e+03  9.386e-09  1.657e-06  1.000e-04  1.000e-04  0.0020  0.000e+00  3.234e-09  -4.924e-09
  25  2.046e+03  9.319e-09  1.528e-06  1.000e-03  1.000e-03  0.0020  0.000e+00  2.982e-09  -5.070e-09
  26  2.046e+03  8.947e-09  8.663e-07  1.000e-02  1.000e-02  0.0020  0.000e+00  1.690e-09  -5.764e-09
  27  2.046e+03  8.303e-09  1.786e-07  1.000e-01  1.000e-01  0.0020  0.000e+00  3.485e-10  -4.546e-09
  28  2.046e+03  7.886e-09  2.488e-08  1.000e+00  1.000e+00  0.0020  0.000e+00  4.855e-11  -8.943e-10
  29  2.046e+03  7.545e-09  3.247e-09  1.000e+01  1.000e+01  0.0020  0.000e+00  6.335e-12  -1.401e-10
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||   dV-exp       dV    
  30  2.046e+03  8.635e-09  4.731e-10  1.000e+02  1.000e+02  0.0020  0.000e+00  9.231e-13  -6.412e-11
  31  2.046e+03  1.297e-08  8.577e-11  1.000e+01  1.000e+01  1.0000  0.000e+00  4.289e-11  3.441e-08
  32  2.046e+03  6.277e-09  4.093e-10  1.000e+02  1.000e+02  0.0020  0.000e+00  7.986e-13  -1.510e-10
  33  2.046e+03  7.067e-09  5.327e-11  1.000e+01  1.000e+01  1.0000  0.000e+00  2.663e-11  1.641e-09
  34  2.046e+03  6.070e-09  3.856e-10  1.000e+02  1.000e+02  0.0020  0.000e+00  7.524e-13  -1.273e-10
  35  2.046e+03  6.010e-09  4.526e-11  1.000e+03  1.000e+03  0.0020  0.000e+00  8.831e-14  -2.433e-11
  36  2.046e+03  6.002e-09  4.791e-12  1.000e+03  1.000e+03  0.2500  0.000e+00  1.048e-12  6.821e-12
  37  2.046e+03  5.970e-09  4.764e-12  1.000e+03  1.000e+03  0.0156  0.000e+00  7.386e-14  1.251e-11
  38  2.046e+03  5.967e-09  4.762e-12  1.000e+04  1.000e+04  0.0020  0.000e+00  9.292e-15  -9.777e-12
  39  2.046e+03  5.972e-09  4.808e-13  1.000e+03  1.000e+03  1.0000  0.000e+00  2.404e-13  2.819e-11
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||   dV-exp       dV    
  40  2.046e+03  5.982e-09  4.772e-12  1.000e+03  1.000e+03  0.0312  0.000e+00  1.468e-13  1.137e-12
  41  2.046e+03  5.979e-09  4.769e-12  1.000e+04  1.000e+04  0.0020  0.000e+00  9.305e-15  -7.276e-12
  42  2.046e+03  5.981e-09  4.812e-13  1.000e+03  1.000e+03  1.0000  0.000e+00  2.406e-13  8.185e-12
  43  2.046e+03  5.955e-09  4.750e-12  1.000e+04  1.000e+04  0.0020  0.000e+00  9.268e-15  -9.095e-13
  44  2.046e+03  5.956e-09  4.791e-13  1.000e+03  1.000e+03  1.0000  0.000e+00  2.396e-13  5.230e-12
  45  2.046e+03  5.982e-09  4.768e-12  1.000e+04  1.000e+04  0.0020  0.000e+00  9.304e-15  3.865e-12
  46  2.046e+03  5.983e-09  4.809e-13  1.000e+03  1.000e+03  1.0000  0.000e+00  2.404e-13  5.002e-12
  47  2.046e+03  5.932e-09  4.730e-12  1.000e+04  1.000e+04  0.0039  0.000e+00  1.844e-14  4.775e-12
  48  2.046e+03  5.932e-09  4.768e-13  1.000e+03  1.000e+03  1.0000  0.000e+00  2.384e-13  -1.046e-11
  49  2.046e+03  5.951e-09  4.742e-12  1.000e+03  1.000e+03  0.0312  0.000e+00  1.459e-13  7.958e-12
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||   dV-exp       dV    
  50  2.046e+03  5.948e-09  4.740e-12  1.000e+04  1.000e+04  0.0020  0.000e+00  9.250e-15  -1.387e-11
  51  2.046e+03  5.949e-09  4.779e-13  1.000e+03  1.000e+03  1.0000  0.000e+00  2.389e-13  -2.228e-11
  52  2.046e+03  5.925e-09  4.722e-12  1.000e+04  1.000e+04  0.0020  0.000e+00  9.215e-15  -2.501e-12
  53  2.046e+03  5.924e-09  4.760e-13  1.000e+03  1.000e+03  1.0000  0.000e+00  2.380e-13  -1.432e-11
  54  2.046e+03  5.885e-09  4.691e-12  1.000e+04  1.000e+04  0.0020  0.000e+00  9.154e-15  -4.547e-13
  55  2.046e+03  5.884e-09  4.728e-13  1.000e+03  1.000e+03  1.0000  0.000e+00  2.364e-13  -1.501e-11
