*** SOLVE walking ***
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||hfeas||   dV-exp       dV    
  12  1.965e+03  3.687e-10  1.742e-10  1.000e-08  1.000e-08  1.0000  0.000e+00  1.905e-11  3.687e-10  3.874e-10
*** SOLVE jumping ***
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||hfeas||   dV-exp       dV    
   0  4.146e+05  1.870e+06  4.002e+06  1.000e-09  1.000e-09  1.0000  1.687e+00  1.084e+03  1.870e+06  1.458e+06
   1  4.531e+05  4.110e+05  8.255e+05  1.000e-09  1.000e-09  1.0000  0.000e+00  1.752e+02  4.110e+05  -3.844e+04
   2  1.553e+05  4.493e+05  8.987e+05  1.000e-09  1.000e-09  1.0000  0.000e+00  3.073e+01  4.493e+05  2.977e+05
   3  1.183e+04  1.515e+05  3.031e+05  1.000e-09  1.000e-09  1.0000  0.000e+00  3.429e+00  1.515e+05  1.435e+05
   4  3.815e+03  8.042e+03  1.608e+04  1.000e-09  1.000e-09  1.0000  0.000e+00  1.115e+00  8.042e+03  8.020e+03
   5  3.792e+03  2.313e+01  4.606e+01  1.000e-09  1.000e-09  1.0000  0.000e+00  1.296e-01  2.313e+01  2.311e+01
   6  3.792e+03  9.763e-02  2.105e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  1.686e-03  9.763e-02  9.772e-02
   7  3.792e+03  1.513e-02  3.047e-02  1.000e-09  1.000e-09  0.5000  0.000e+00  1.501e-03  1.137e-02  1.136e-02
   8  3.792e+03  3.875e-03  7.763e-03  1.000e-09  1.000e-09  0.5000  0.000e+00  1.235e-03  2.908e-03  2.905e-03
   9  3.792e+03  9.985e-04  1.979e-03  1.000e-09  1.000e-09  1.0000  0.000e+00  4.924e-04  9.985e-04  9.953e-04
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||hfeas||   dV-exp       dV    
  10  3.792e+03  1.324e-05  4.044e-07  1.000e-09  1.000e-09  1.0000  0.000e+00  3.514e-08  1.324e-05  1.323e-05
  11  3.792e+03  1.672e-08  7.740e-10  1.000e-08  1.000e-08  1.0000  0.000e+00  8.309e-11  1.672e-08  1.673e-08
  12  3.792e+03  9.761e-11  1.316e-11  1.000e-08  1.000e-08  1.0000  0.000e+00  2.784e-12  9.761e-11  6.230e-11
