*** SOLVE (FeasShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   9  1.650e-01  1.671e-01  6.468e-01  4.418e-03  1.000e-09  1.000e-09  1.0000  1.298e-02  0.000e+00  6.338e-01  2.396e-03  2.388e-03  3.725e-03  3.718e-03
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  1.647e-01  1.651e-01  2.691e-01  3.953e-04  1.000e-09  1.000e-09  1.0000  1.585e-03  0.000e+00  2.675e-01  2.670e-04  2.851e-04  8.785e-04  8.966e-04
  11  1.646e-01  1.647e-01  1.530e-01  9.658e-05  1.000e-09  1.000e-09  1.0000  5.276e-04  0.000e+00  1.525e-01  7.137e-05  8.230e-05  1.654e-04  1.763e-04
  12  1.645e-01  1.646e-01  1.086e-01  4.414e-05  1.000e-09  1.000e-09  1.0000  1.963e-04  0.000e+00  1.084e-01  3.371e-05  4.457e-05  5.166e-05  6.252e-05
  13  1.645e-01  1.645e-01  9.791e-03  5.708e-05  1.000e-08  1.000e-08  1.0000  1.517e-04  0.000e+00  9.639e-03  4.054e-05  4.411e-05  9.323e-05  9.680e-05
  14  1.645e-01  1.645e-01  1.544e-03  3.737e-05  1.000e-07  1.000e-07  1.0000  3.449e-04  0.000e+00  1.199e-03  5.507e-06  7.191e-06  1.213e-05  1.382e-05
  15  1.645e-01  1.645e-01  4.930e-04  9.407e-06  1.000e-06  1.000e-06  1.0000  1.007e-04  0.000e+00  3.924e-04 -2.053e-05 -1.971e-05 -2.011e-05 -1.929e-05
  16  1.645e-01  1.645e-01  5.875e-05  1.236e-05  1.000e-05  1.000e-05  1.0000  1.040e-05  0.000e+00  4.835e-05 -1.414e-05 -1.419e-05 -1.405e-05 -1.410e-05
*** SOLVE (HybridShoot: 36) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.126e+00  4.624e+00  1.634e+02  4.148e+00  1.000e-09  1.000e-09  0.5000  6.778e-01  0.000e+00  1.627e+02  1.564e+00  8.777e-01  1.319e+00  3.891e-01
   1  6.014e-01  1.787e+00  1.108e+02  2.346e+00  1.000e-09  1.000e-09  0.5000  4.003e-01  0.000e+00  1.104e+02  8.833e-01  5.250e-01  1.165e+00  1.088e+00
   2  4.912e-01  7.693e-01  5.196e+01  6.650e-01  1.000e-09  1.000e-09  0.5000  2.559e-01  0.000e+00  5.170e+01  2.481e-01  1.101e-01  4.055e-01  4.249e-01
   3  2.946e-01  5.587e-01  3.509e+01  5.533e-01  1.000e-09  1.000e-09  1.0000  2.128e-01  0.000e+00  3.487e+01  2.738e-01  1.966e-01  4.007e-01  3.236e-01
   4  2.846e-01  4.325e-01  3.098e+01  2.384e-01  1.000e-09  1.000e-09  0.1250  1.855e-01  0.000e+00  3.080e+01  2.791e-02  1.007e-02  3.036e-02  2.967e-02
   5  2.803e-01  3.897e-01  2.210e+01  2.186e-01  1.000e-09  1.000e-09  0.5000  8.892e-02  0.000e+00  2.201e+01  8.148e-02  4.258e-03  1.035e-01  4.824e-02
   6  1.772e-01  1.979e-01  2.865e+00  2.276e-01  1.000e-09  1.000e-09  1.0000  2.619e-02  0.000e+00  2.838e+00  1.121e-01  1.031e-01  2.514e-01  2.425e-01
   7  1.777e-01  1.910e-01  2.506e+00  2.029e-02  1.000e-09  1.000e-09  0.1250  2.256e-02  0.000e+00  2.483e+00  2.385e-03 -5.754e-04  2.622e-03  1.321e-03
   8  1.664e-01  1.731e-01  1.076e+00  2.131e-02  1.000e-09  1.000e-09  1.0000  2.043e-02  0.000e+00  1.056e+00  1.105e-02  1.139e-02  2.006e-02  2.040e-02
   9  1.662e-01  1.679e-01  5.600e-01  2.247e-03  1.000e-09  1.000e-09  0.5000  1.005e-02  0.000e+00  5.500e-01  8.956e-04  1.926e-04  1.709e-03  1.819e-03
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  1.649e-01  1.665e-01  5.014e-01  2.278e-03  1.000e-09  1.000e-09  1.0000  5.833e-04  0.000e+00  5.008e-01  1.260e-03  1.264e-03  1.449e-03  1.452e-03
  11  1.650e-01  1.656e-01  4.122e-01  3.217e-04  1.000e-09  1.000e-09  0.2500  4.358e-04  0.000e+00  4.117e-01  7.365e-05 -7.343e-05  1.095e-04  7.003e-05
  12  1.647e-01  1.647e-01  3.498e-02  4.685e-04  1.000e-08  1.000e-08  1.0000  1.176e-04  0.000e+00  3.487e-02  2.639e-04  2.669e-04  6.090e-04  6.119e-04
  13  1.647e-01  1.648e-01  3.778e-02  7.265e-05  2.000e-09  2.000e-09  0.5000  6.575e-05  0.000e+00  3.772e-02  3.061e-05  3.271e-05  2.777e-05  2.701e-05
  14  1.646e-01  1.646e-01  3.593e-03  4.081e-05  2.000e-08  2.000e-08  1.0000  2.679e-05  0.000e+00  3.567e-03  2.967e-05  3.145e-05  6.802e-05  6.980e-05
  15  1.646e-01  1.646e-01  9.806e-04  2.120e-05  2.000e-07  2.000e-07  1.0000  3.112e-05  0.000e+00  9.494e-04 -3.930e-06 -2.801e-06 -2.464e-06 -1.335e-06
  16  1.647e-01  1.647e-01  1.843e-04  1.216e-05  2.000e-06  2.000e-06  1.0000  4.442e-06  0.000e+00  1.799e-04 -1.756e-05 -1.696e-05 -1.734e-05 -1.674e-05
  17  1.647e-01  1.647e-01  1.622e-05  8.264e-06  2.000e-05  2.000e-05  1.0000  8.650e-07  0.000e+00  1.536e-05 -9.195e-06 -9.210e-06 -9.171e-06 -9.186e-06
step integration (guess):  0.01
step integration (optimal):  [0.0101782  0.00994541 0.00993803 0.00992305 0.00994364 0.00992535
 0.0099609  0.00997638 0.00997676 0.00980609 0.00995709 0.00999592]
